46.127.137.19 - - [14/Feb/2019:10:41:50 +0100] "GET /apple-touch-icon.png HTTP/1.1" 200 18778
46.127.137.19 - - [14/Feb/2019:10:41:50 +0100] "GET /vermietung.shtml HTTP/1.1" 200 30962
46.127.137.19 - - [14/Feb/2019:10:41:51 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094511 HTTP/1.1" 200 4286
46.127.137.19 - - [14/Feb/2019:10:41:51 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 18778
46.127.137.19 - - [14/Feb/2019:10:41:53 +0100] "GET /templates/resellers/7/favicon.ico?v=1538122034 HTTP/1.1" 200 4286
46.127.137.19 - - [14/Feb/2019:10:41:52 +0100] "GET /apple-touch-icon.png HTTP/1.1" 200 18778
157.55.39.237 - - [14/Feb/2019:11:00:27 +0100] "GET /davosersee HTTP/1.1" 301 316
207.241.231.165 - - [14/Feb/2019:11:08:27 +0100] "GET /robots.txt HTTP/1.0" 200 120
207.241.231.165 - - [14/Feb/2019:11:08:32 +0100] "GET /gfx/files/excel.png HTTP/1.0" 200 4779
216.244.66.248 - - [14/Feb/2019:11:14:23 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [14/Feb/2019:11:14:24 +0100] "GET /robots.txt HTTP/1.1" 200 120
54.36.148.131 - - [14/Feb/2019:11:26:49 +0100] "GET /var/m_0/0d/0dd/12455/143505-G1_SKT2014_27.JPG HTTP/1.1" 301 359
54.36.149.19 - - [14/Feb/2019:11:33:09 +0100] "GET /segelkurs-jollesmartkat HTTP/1.1" 200 31052
66.249.75.197 - - [14/Feb/2019:11:42:13 +0100] "GET /robots.txt HTTP/1.1" 200 80
66.249.75.197 - - [14/Feb/2019:11:42:34 +0100] "GET /vermietung HTTP/1.1" 200 30960
216.244.66.248 - - [14/Feb/2019:11:49:17 +0100] "GET /event-gruppesmartkat HTTP/1.1" 200 165447
216.244.66.248 - - [14/Feb/2019:12:00:42 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [14/Feb/2019:12:00:43 +0100] "GET /robots.txt HTTP/1.1" 200 120
178.197.226.123 - - [14/Feb/2019:12:01:25 +0100] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
104.219.42.187 - - [14/Feb/2019:12:31:43 +0100] "GET / HTTP/1.1" 301 314
104.219.42.187 - - [14/Feb/2019:12:31:44 +0100] "GET /https://www.davossail.ch HTTP/1.1" 301 337
104.219.42.187 - - [14/Feb/2019:12:31:44 +0100] "GET /https://https://www.davossail.ch/https:/www.davossail.ch HTTP/1.1" 301 368
157.55.39.159 - - [14/Feb/2019:12:39:41 +0100] "GET /kurse HTTP/1.1" 301 311
54.36.148.162 - - [14/Feb/2019:12:41:08 +0100] "GET /var/m_0/0d/0dd/12455/6564699-G3_SKT2015_28.jpg HTTP/1.1" 200 120507
216.244.66.248 - - [14/Feb/2019:12:47:05 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [14/Feb/2019:12:47:07 +0100] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.237 - - [14/Feb/2019:12:50:47 +0100] "GET /galerie.shtml HTTP/1.1" 200 30731
40.77.167.84 - - [14/Feb/2019:12:51:02 +0100] "GET /robots.txt HTTP/1.1" 301 316
157.55.39.159 - - [14/Feb/2019:12:51:03 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
40.77.167.84 - - [14/Feb/2019:12:51:04 +0100] "GET /robots.txt HTTP/1.1" 200 80
